"#Data was processed in Genespring 11.5.1.  Note filtering was not the same for CSM data as for YPD data, so number of probes differs.  Also, fold changes are NOT log2."																							
	"gal11-myc med3? vs BY4741, YPD"				"gal11? med3? vs BY4741, YPD"					"gal11-myc med3? vs BY4741, CSM"					"gal11? med3? vs BY4741, CSM"					"BY4741 vs BY4742, YPD"			
Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change
1779198_at	0.12165377	0.3410607	-1.1594633		1779202_at	0.011649521	0.067872554	1.6716343		1779324_at	0.027775833	0.086947665	1.1790177		1779324_at	0.05109734	0.18807401	1.1475183		1779207_at	0.7331952	0.87609625	-1.0553753
1779197_at	0.26075304	0.51042104	-1.0552006		1779201_at	0.025192726	0.10895411	1.8139691		1779323_at	0.57362145	0.73712784	-1.0396631		1779323_at	0.37390098	0.6209711	-1.0286123		1779203_at	0.17416112	0.5226485	1.0923804
1779196_at	0.61178786	0.79240716	1.0172315		1779200_at	0.070564434	0.20611359	1.1593194		1779322_at	0.08327191	0.20733549	-1.0813038		1779322_at	0.084383674	0.26303104	-1.1177492		1779202_at	0.25299484	0.5750244	1.1499525
1779195_at	0.026247647	0.14793211	1.635682		1779199_at	0.23183455	0.435482	-1.094985		1779321_at	0.002160217	0.01236964	1.1554673		1779321_at	0.9410117	0.9770099	-1.0037651		1779201_at	0.15704943	0.51252943	1.2543472
1779194_at	0.86690706	0.9366605	-1.0137401		1779198_at	0.17693365	0.3674028	1.123061		1779320_at	0.3718337	0.56968254	-1.0754211		1779320_at	0.47570977	0.7050802	-1.0638367		1779200_at	0.8987876	0.9536712	1.0122025
1779193_at	0.579311	0.77115977	-1.0571314		1779197_at	0.09223586	0.24403504	-1.0826488		1779319_at	0.18729685	0.36714333	-1.3927642		1779319_at	0.1559206	0.38445404	-1.4493071		1779199_at	0.09423495	0.5033901	-1.1870989
1779191_at	0.5870789	0.7765586	-1.0062733		1779196_at	0.032738727	0.12795971	1.1648005		1779318_at	0.004454582	0.0212575	1.1182666		1779318_at	0.28056386	0.537427	1.0661439		1779198_at	0.13832405	0.5066349	-1.1754736
1779188_at	0.8633924	0.9353303	-1.0100161		1779195_at	0.30315137	0.5080986	1.2171836		1779317_at	1.02E-04	0.001558223	1.2857943		1779317_at	1.29E-04	0.003664584	1.6514529		1779197_at	0.45055985	0.71665734	-1.0536264
1779187_at	0.57685447	0.7692436	-1.0484447		1779194_at	0.68692815	0.8166674	1.0498292		1779316_at	0.008960182	0.03631931	-1.1634669		1779316_at	0.72982574	0.87137526	-1.0550147		1779196_at	0.2936031	0.60725856	-1.079447
1779186_at	0.061205216	0.23451664	-1.0557815		1779193_at	0.83926904	0.91335225	1.0213859		1779315_at	0.76985747	0.86777633	-1.032946		1779315_at	0.054905258	0.1988087	-1.1250603		1779195_at	0.5894278	0.8019198	-1.0601441
1779185_at	0.8411658	0.9242811	-1.017814		1779191_at	0.093881726	0.2469831	-1.0549794		1779314_at	0.95831525	0.9784934	-1.0043455		1779314_at	0.73355573	0.8738061	1.0242844		1779193_at	0.046695318	0.5033901	-1.2580264
1779184_at	0.013834246	0.107779965	-1.1334292		1779188_at	0.22845887	0.43120185	1.1049026		1779313_s_at	0.88293433	0.9372226	1.0120602		1779313_s_at	0.15149625	0.378124	1.1366707		1779191_at	0.24907044	0.57253474	-1.0371711
1779183_at	0.67305726	0.8310695	1.0375363		1779187_at	0.38225606	0.5811617	1.130826		1779312_at	0.017404443	0.060322154	-1.1709044		1779312_at	0.003791651	0.028854571	-1.3428534		1779188_at	0.7403805	0.8800665	-1.0276682
1779182_at	0.40915233	0.64689076	1.1357374		1779186_at	0.6616204	0.79767877	1.029388		1779311_at	0.7977753	0.8857146	1.025026		1779311_at	0.706375	0.85759336	1.0400109		1779187_at	0.7110165	0.8637263	1.0217009
1779181_at	0.16565177	0.40394053	-1.1860564		1779185_at	0.7150213	0.83485067	1.0372992		1779310_at	0.002191754	0.012513841	1.3670497		1779310_at	0.010930207	0.061888754	1.3718243		1779186_at	0.063997164	0.5033901	-1.0680035
1779180_at	0.013298873	0.105617546	-1.1887704		1779184_at	0.040926874	0.14812061	-1.0995495		1779309_at	0.004943779	0.023038644	1.2249169		1779309_at	1.68E-04	0.004255511	1.5931948		1779185_at	0.5900976	0.8022054	1.0443585
1779179_at	0.5819219	0.772752	1.0454714		1779183_at	0.85524696	0.92275894	1.0150777		1779308_at	0.10450021	0.24476705	-1.1665118		1779308_at	0.28212056	0.53871787	-1.2035395		1779184_at	0.0749737	0.5033901	-1.1772851
1779178_at	0.022325302	0.13883768	-1.27599		1779182_at	0.4394777	0.6293789	-1.123336		1779307_at	2.99E-05	8.27E-04	-2.160621		1779307_at	0.001623762	0.016771717	-1.3690037		1779183_at	0.18924405	0.52974606	-1.0519549
1779177_at	0.18903758	0.4318349	1.1356593		1779181_at	0.3389072	0.54227364	-1.0712426		1779306_at	0.042638775	0.12372717	1.291064		1779306_at	0.17269719	0.40690705	1.1964048		1779182_at	0.15899602	0.5139184	1.228877
1779176_at	0.048472863	0.21051662	1.1230278		1779180_at	0.52717984	0.7016212	-1.048667		1779305_at	0.6182901	0.7704304	-1.0535052		1779305_at	0.7169324	0.8635976	1.0534012		1779181_at	0.41857892	0.6933337	1.083933
1779175_at	0.38130772	0.6228638	-1.1224422		1779179_at	0.20598528	0.40473	-1.107189		1779304_at	0.00118841	0.00793338	1.3133283		1779304_at	0.00504614	0.0351588	1.4953812		1779180_at	0.07555767	0.5033901	1.1140914
1779174_at	0.2991527	0.54670435	-1.1089429		1779178_at	0.19639869	0.39247784	-1.2059072		1779303_at	0.043304127	0.1253915	1.07736		1779303_at	0.16420572	0.3962111	-1.0476214		1779179_at	0.44754958	0.71399444	1.0843533
1779173_at	0.5986325	0.7843355	1.0741293		1779176_at	0.1830779	0.3751665	1.0564157		1779302_at	0.45424667	0.64142555	-1.0245953		1779302_at	0.18505134	0.4240388	-1.0490471		1779178_at	0.10806544	0.5033901	-1.2326344
1779172_at	0.3039912	0.5522619	1.1494006		1779175_at	0.20785193	0.40684325	-1.2126399		1779301_at	0.7667805	0.8654593	1.0156794		1779301_at	0.14136852	0.3645293	1.1773713		1779177_at	0.7800381	0.8988452	-1.0265996
1779171_at	0.5104633	0.72317	-1.0790097		1779174_at	0.31139648	0.51676774	-1.1340582		1779300_at	0.92650414	0.9612491	-1.0077912		1779300_at	0.26960972	0.5248967	-1.1273046		1779176_at	0.34790546	0.6494399	-1.0485042
1779170_at	0.11634433	0.33306468	-1.1952549		1779173_at	0.56055653	0.72751665	1.0653082		1779299_at	0.688106	0.81766427	1.0470128		1779299_at	0.43703136	0.6755946	1.0671036		1779175_at	0.12502374	0.5033901	-1.2442786
1779169_at	0.4829123	0.7030549	-1.1211869		1779172_at	0.6129259	0.76613235	1.0707635		1779298_at	0.26770008	0.46348396	-1.097704		1779298_at	0.5657297	0.7681777	-1.06446		1779174_at	0.8675009	0.9392414	-1.012547
1779168_at	0.6404987	0.8109959	-1.0781811		1779171_at	0.4187777	0.61151874	-1.0551395		1779297_at	0.3910191	0.5870604	1.0551616		1779297_at	0.121947944	0.33316177	-1.1741239		1779173_at	0.31680772	0.6255069	-1.0719799
1779167_at	0.07205035	0.25610957	-1.2028332		1779170_at	0.48522645	0.66683006	-1.0741036		1779296_at	0.01568066	0.055539213	1.2243916		1779296_at	0.30928713	0.56265634	-1.1221867		1779172_at	0.05134227	0.5033901	1.3944639
1779166_at	0.98034954	0.990423	1.0042549		1779169_at	0.14462353	0.3232454	-1.3242171		1779295_at	0.39791444	0.5932193	-1.0984536		1779295_at	0.86182004	0.9387779	-1.0143657		1779171_at	0.86158687	0.9364801	-1.0172954
1779165_s_at	0.048396073	0.21045122	-1.6224055		1779168_at	0.98469365	0.99106234	1.0039086		1779294_at	0.41265535	0.6053017	-1.1148151		1779294_at	0.66992205	0.8381953	-1.0612496		1779170_at	0.6410817	0.8283668	-1.0639561
1779163_at	0.019424137	0.12877823	-1.2586819		1779167_at	0.05938227	0.18444541	-1.2356198		1779293_at	0.16246213	0.33296815	-1.0535395		1779293_at	0.120531105	0.33152878	-1.2220302		1779169_at	0.123792686	0.5033901	-1.535242
1779162_at	0.15417695	0.38938293	1.153313		1779165_s_at	0.12650988	0.2968918	-1.342518		1779292_at	0.97409225	0.98691636	1.0037665		1779292_at	0.3912495	0.6357732	1.0891746		1779168_at	0.25850186	0.5804761	-1.1890253
1779161_at	0.8113599	0.9077481	-1.0302169		1779163_at	0.5243596	0.6991231	1.05214		1779291_at	0.9893376	0.9944861	-1.0008732		1779291_at	0.003105856	0.025347864	1.0918424		1779167_at	0.070722535	0.5033901	-1.2977635
1779160_at	0.14714256	0.3787953	-1.0689285		1779162_at	0.017493479	0.0875061	1.3633441		1779290_at	0.12958662	0.2837921	1.0634108		1779290_at	0.6788226	0.8419218	-1.0483862		1779165_s_at	0.2699695	0.5880149	-1.2846165
1779159_at	0.034292936	0.17039113	1.1430578		1779161_at	0.727935	0.8439752	1.0475098		1779289_at	0.12839846	0.28209457	-1.1487674		1779289_at	0.32782984	0.578169	-1.1357682		1779163_at	0.03829667	0.5033901	-1.176705
1779158_at	0.13737312	0.36479178	-1.356606		1779160_at	0.15200438	0.33331734	-1.0705639		1779288_at	0.90288806	0.94845587	1.0062059		1779288_at	0.77463794	0.8956982	-1.0296266		1779162_at	0.047560543	0.5033901	1.2308084
1779157_at	0.05381212	0.22100283	1.337255		1779159_at	0.36634842	0.56742424	1.0553719		1779287_at	0.027034542	0.085213	1.1651622		1779287_at	0.063071094	0.2187372	-1.2432758		1779161_at	0.53761345	0.77068746	1.0458666
1779156_x_at	0.034438353	0.17100903	-1.0668129		1779158_at	0.07658263	0.21660937	-1.4057577		1779286_at	0.24036676	0.43395472	1.123592		1779286_at	0.2048546	0.4503322	1.0746518		1779160_at	0.01630498	0.5033901	-1.1890441
1779155_at	0.01540677	0.11421698	-1.1407596		1779157_at	0.001302895	0.021444304	1.4936806		1779285_at	0.10261167	0.24151202	-1.0854025		1779285_at	0.2029048	0.4477817	-1.0548662		1779159_at	0.15951064	0.5147318	1.2324786
1779154_s_at	0.79324853	0.8987347	-1.0022864		1779156_x_at	0.015831374	0.08183013	-1.0975069		1779284_at	0.10808323	0.2502932	-1.1229593		1779284_at	0.105573855	0.30353314	-1.0823841		1779158_at	0.17623152	0.5232207	-1.279883
1779153_at	0.80882144	0.90573263	1.0230865		1779155_at	0.021199318	0.0978988	-1.1647271		1779283_at	0.79368955	0.88383853	1.025926		1779283_at	0.4871634	0.71589124	1.0650846		1779157_at	0.04193947	0.5033901	1.1250794
1779152_at	0.387548	0.62846315	-1.0810378		1779154_s_at	0.17429464	0.3636906	-1.0126463		1779282_at	0.6265925	0.77634954	-1.0538077		1779282_at	0.6127726	0.80292314	1.0123886		1779156_x_at	0.8398748	0.9256921	-1.00187
1779151_at	0.7461561	0.8712835	-1.0413657		1779153_at	0.68591493	0.8161628	-1.0330482		1779280_at	0.8280646	0.9028325	1.0262256		1779280_at	0.029280273	0.12692377	-1.0989554		1779155_at	0.067632794	0.5033901	-1.1585478
1779150_at	0.052248254	0.218784	-1.3861661		1779152_at	0.003245054	0.03415982	-1.4473635		1779279_at	0.004051232	0.019755755	1.2396154		1779279_at	0.07334719	0.24127612	1.3827455		1779154_s_at	0.048750233	0.5033901	1.005659
1779149_at	0.37771422	0.6195334	-1.0884876		1779151_at	0.5939244	0.7527281	-1.0496123		1779278_at	1.37E-04	0.001854648	-1.6996105		1779278_at	7.13E-04	0.009875959	-1.5537618		1779153_at	0.5556745	0.78191084	1.0536183
1779148_at	0.02179382	0.13725808	1.238242		1779150_at	0.6127123	0.76606584	-1.0448117		1779277_at	0.002418436	0.013484012	-1.3876642		1779277_at	0.0242346	0.11188666	-1.907495		1779152_at	0.15395501	0.5117757	-1.1549551
1779146_at	0.012025546	0.10011446	1.1818192		1779149_at	0.7779604	0.8759298	-1.0214995		1779276_at	0.007535392	0.031757332	1.0882367		1779276_at	0.76000196	0.88731855	-1.0611879		1779151_at	0.20700866	0.5398997	-1.2064655
1779144_at	0.4482671	0.6781601	-1.0276434		1779148_at	0.012107867	0.06943635	1.3515707		1779275_at	0.15713163	0.32521486	-1.042724		1779275_at	2.28E-04	0.005091625	-1.2944648		1779150_at	0.15597224	0.512262	1.5825598
1779143_at	1.46E-04	0.022138633	8.943068		1779147_at	0.9153054	0.9547603	-1.0035219		1779274_at	0.14736545	0.31089428	-1.0275748		1779274_at	0.5460853	0.7574196	-1.018138		1779149_at	0.321471	0.629261	-1.1638341
1779142_x_at	0.1604201	0.3979973	1.1315541		1779146_at	0.005587901	0.04449491	1.2600456		1779273_at	0.56589466	0.7310671	-1.0300084		1779273_at	0.20882757	0.45486698	1.0494165		1779148_at	0.0707136	0.5033901	-1.1608084
1779141_at	0.7825274	0.8924436	1.0156906		1779144_at	9.01E-04	0.018301478	-1.1441455		1779272_at	3.27E-04	0.0032596	1.3275189		1779272_at	0.048794262	0.1827336	1.2583011		1779147_at	0.91068363	0.95842385	-1.0059282
1779140_at	0.05593816	0.22416465	-1.1518415		1779143_at	1.51E-05	0.003439601	9.800877		1779271_at	0.14938247	0.31387267	1.0974172		1779271_at	0.6525233	0.8267027	1.0208591		1779146_at	0.202884	0.5391821	1.1729829
1779139_at	0.24311109	0.49212968	1.1949517		1779142_x_at	0.004518411	0.040361736	1.4071736		1779270_at	0.4392909	0.629418	1.0139275		1779270_at	0.45893246	0.6928987	-1.0583212		1779144_at	0.16154416	0.51573706	-1.0768713
1779137_at	0.57455474	0.7677388	-1.0588331		1779141_at	0.058606755	0.183125	1.1904776		1779269_at	0.124612294	0.2761637	-1.107511		1779269_at	0.07902878	0.25311443	-1.0957178		1779143_at	0.023927795	0.5033901	3.3624556
1779136_at	0.9279508	0.9676143	-1.0179021		1779140_at	6.71E-04	0.016003013	1.6801138		1779268_at	0.30612847	0.50484526	-1.0199281		1779268_at	0.70493466	0.85689944	1.0336512		1779142_x_at	0.9670752	0.9836416	1.0017946
1779135_at	0.24430606	0.49302486	-1.0883448		1779139_at	0.373287	0.5734706	1.125892		1779267_at	1.32E-04	0.001814827	1.6052134		1779267_at	0.004008326	0.030072033	2.6479485		1779141_at	0.064103216	0.5033901	-1.1082144
1779134_at	0.23965994	0.4887651	-1.2090175		1779138_at	0.31943464	0.5247893	1.0964974		1779266_at	6.80E-04	0.005289271	-2.0237174		1779266_at	2.05E-04	0.004784695	-2.8111491		1779140_at	0.023083309	0.5033901	-1.1986449
1779133_at	0.32752812	0.5759145	1.0923012		1779137_at	0.12333683	0.29301444	-1.187967		1779265_at	6.91E-05	0.001251286	-2.6320279		1779265_at	2.20E-04	0.004992593	-3.1574817		1779139_at	0.1474128	0.51086074	1.2070459
1779132_at	0.001932	0.044800535	1.5284771		1779136_at	0.32994863	0.5340557	-1.2094498		1779264_at	0.73982173	0.84915155	-1.0278383		1779264_at	0.86417836	0.9395082	-1.0100167		1779137_at	0.003962556	0.5033901	-1.260679
1779131_at	7.98E-04	0.0307625	-1.3662093		1779135_at	0.13119851	0.30375978	-1.1171302		1779263_at	1.09E-05	5.41E-04	-1.4419535		1779263_at	0.06089499	0.21397442	-1.1372906		1779136_at	0.07014823	0.5033901	-1.668855
1779130_at	0.012091018	0.10040447	-1.2797662		1779134_at	0.7609995	0.86526924	1.0457572		1779262_at	0.14433298	0.30685908	-1.1390029		1779262_at	0.13246743	0.35071445	1.145919		1779135_at	0.43114156	0.70307446	1.0491806
1779129_at	0.2621254	0.51191837	-1.22228		1779133_at	0.37811765	0.57728153	1.0913885		1779261_at	0.024876198	0.07981433	-1.2478179		1779261_at	0.002749856	0.023276864	-1.3591288		1779134_at	0.06791836	0.5033901	-1.5296293
1779128_at	0.001536847	0.040513325	1.3709751		1779132_at	0.018873531	0.09138573	1.348544		1779260_at	0.3481605	0.54751736	1.0874344		1779260_at	0.14185078	0.36492297	1.1022649		1779133_at	0.086156555	0.5033901	1.279788
1779127_at	0.18242334	0.42391545	-1.169867		1779131_at	2.53E-04	0.009332645	-1.4365956		1779259_at	0.9985228	0.99910885	-1.0001072		1779259_at	0.95956075	0.9841464	1.0048193		1779132_at	0.718695	0.8680237	1.026728
1779126_at	0.24578626	0.4943884	-1.0604401		1779130_at	0.02405991	0.10577749	-1.2332314		1779258_at	0.15241012	0.3179507	-1.2118107		1779258_at	0.18258595	0.42023996	-1.2236805		1779131_at	0.3952881	0.6802828	-1.0824584
1779125_at	0.023191975	0.14042911	-1.2132541		1779129_at	0.094146885	0.24754812	-1.364922		1779257_at	0.11169042	0.25625718	1.0438399		1779257_at	0.019362686	0.09429386	-1.196487		1779130_at	0.8428521	0.9267733	1.0069149
1779124_at	0.71671456	0.8552904	-1.0489664		1779128_at	0.004621327	0.040569045	1.2863349		1779256_at	3.72E-06	3.83E-04	-2.2170138		1779256_at	0.052530345	0.19224769	-1.1918516		1779129_at	0.77272284	0.8952431	-1.0471495
1779121_at	0.05802468	0.22865677	-1.3136399		1779127_at	0.10068633	0.25838143	-1.0974313		1779255_at	0.37928975	0.57600826	-1.0483077		1779255_at	0.20424598	0.449728	1.1069387		1779128_at	0.38912693	0.67526066	1.0355155
1779119_at	0.04501292	0.20162508	-1.2802428		1779126_at	0.2057137	0.40446398	-1.0922741		1779254_at	0.1851452	0.36422795	1.1042236		1779254_at	0.8747938	0.943934	1.0170827		1779127_at	0.009193004	0.5033901	-1.2156408
1779118_at	0.16160206	0.39917824	-1.301971		1779125_at	0.027476877	0.114547215	-1.1582983		1779253_at	0.008131073	0.033609148	1.1369548		1779253_at	0.004579436	0.032988843	1.2587392		1779126_at	0.27572322	0.5933279	-1.0375792
1779117_at	0.7812741	0.89164954	-1.0352737		1779124_at	0.5348427	0.7076984	-1.0725292		1779252_at	0.22578181	0.41819385	-1.0869317		1779252_at	0.24685913	0.4995834	-1.1118101		1779125_at	0.022387184	0.5033901	-1.2356472
1779115_at	0.016082425	0.11662966	1.4607749		1779122_at	0.7305532	0.84579116	1.047052		1779251_at	0.57711214	0.73870885	-1.0485201		1779251_at	0.5586994	0.76528794	1.0496423		1779124_at	0.91232395	0.959213	1.0115013
1779114_at	0.050015673	0.21379396	1.1915904		1779121_at	0.29536054	0.5003074	-1.110832		1779250_at	0.54611284	0.71506363	-1.040214		1779250_at	0.3762193	0.6231168	-1.0749179		1779122_at	0.36507064	0.6598041	1.1419371
1779113_at	0.42716953	0.66140646	1.0304037		1779119_at	0.21361527	0.41405654	-1.1597451		1779249_at	0.0210066	0.06998785	1.1791307		1779249_at	0.39161456	0.63608265	-1.062591		1779121_at	0.8800388	0.94567734	-1.0128257
1779112_at	0.010277936	0.09228554	1.665704		1779118_at	0.60859066	0.763146	-1.1226535		1779248_at	0.04425068	0.12762508	-1.3575246		1779248_at	0.27512318	0.5306294	-1.160956		1779119_at	0.43153346	0.7032158	-1.1073991
1779111_at	0.20189616	0.4468838	-1.2048391		1779117_at	0.8662722	0.9277374	1.0284675		1779247_at	0.3211606	0.5208731	-1.027551		1779247_at	0.14264508	0.36609188	-1.0934639		1779118_at	0.05601702	0.5033901	1.2140827
1779110_at	0.02612725	0.14780387	-1.1763153		1779115_at	2.89E-04	0.010301011	1.9902471		1779246_at	0.4371706	0.62777925	1.0970961		1779246_at	0.70898294	0.8588588	1.0344601		1779117_at	0.9501097	0.9760118	1.007941
1779108_at	0.3333459	0.5813266	-1.039225		1779114_at	0.02777783	0.11545895	1.2360911		1779245_at	0.3850768	0.58107144	-1.050649		1779245_at	0.35110942	0.5995193	-1.1159654		1779116_at	0.6042032	0.8091006	1.0207008
1779107_at	0.41711473	0.65345556	1.0890924		1779113_at	0.16564617	0.35169387	1.0805585		1779244_at	0.30361196	0.50263166	-1.119318		1779244_at	0.43134835	0.6702367	-1.073887		1779115_at	0.08023944	0.5033901	1.084796
1779106_at	0.3560614	0.60099494	1.1874412		1779112_at	0.008493485	0.055962935	1.4224389		1779243_at	0.030245006	0.09326112	-1.0857712		1779243_at	6.44E-05	0.002588072	1.1861452		1779114_at	0.9220572	0.96325386	1.0050488
1779105_at	0.73967236	0.86793876	1.0793854		1779111_at	0.35708508	0.5589801	-1.1266671		1779242_at	0.15925784	0.32827944	1.0718533		1779242_at	0.51656735	0.73662853	1.0568051		1779113_at	0.26131454	0.5827677	-1.0703434
1779104_at	0.944047	0.9731463	-1.0062832		1779110_at	0.27453667	0.47974342	-1.0534915		1779241_at	0.7512976	0.8559404	-1.0130922		1779241_at	0.28856128	0.5448158	-1.095129		1779112_at	0.7073205	0.8618448	-1.0264893
1779103_at	0.25617397	0.5058651	-1.1369547		1779108_at	0.3441856	0.5466248	1.099594		1779240_at	0.48811862	0.6685249	-1.0530871		1779240_at	0.09537185	0.28590423	-1.1487699		1779111_at	0.5831835	0.7975813	1.073256
1779102_at	0.6526178	0.81833166	-1.046971		1779107_at	0.009811431	0.061327685	1.6051723		1779239_at	0.41229275	0.60501343	-1.0405347		1779239_at	0.6448352	0.8233034	-1.028834		1779110_at	0.32114458	0.62903315	-1.133559
1779101_at	0.18621047	0.42836612	1.1143748		1779106_at	0.1690145	0.35630476	1.2671702		1779238_at	0.002269209	0.012842008	1.0764644		1779238_at	0.09941547	0.29291302	1.0968919		1779108_at	0.24036998	0.565335	-1.0910553
1779100_at	0.7865529	0.89428794	1.0078073		1779105_at	0.7187559	0.83678854	1.0929829		1779237_at	0.43065664	0.6218573	-1.0297878		1779237_at	0.4136811	0.6578444	-1.0363784		1779107_at	0.29085633	0.6049935	-1.1375477
1779099_at	0.0678549	0.24791877	-1.1766777		1779104_at	0.6432574	0.7864481	-1.0478028		1779236_at	8.41E-05	0.001391841	-1.2348528		1779236_at	0.12704967	0.3423446	-1.1790221		1779106_at	0.4362916	0.7072074	1.1485041
1779098_at	0.28305376	0.532323	-1.0870495		1779103_at	0.7877192	0.88316005	1.039068		1779235_at	9.28E-04	0.006603963	1.2725483		1779235_at	0.001298427	0.014553035	1.5683078		1779105_at	0.08500785	0.5033901	2.981867
1779097_at	0.3249893	0.5733265	-1.1110297		1779102_at	0.36307818	0.5643385	-1.0649056		1779234_at	0.034710474	0.10443724	1.0718333		1779234_at	0.26871827	0.5239503	1.1048657		1779104_at	0.96355516	0.9826116	1.002816
1779096_at	8.16E-04	0.0307625	-2.0266562		1779101_at	0.2561317	0.46035305	1.0830045		1779233_s_at	9.21E-04	0.00656813	1.0516834		1779233_s_at	0.004146955	0.030683333	1.0612463		1779103_at	0.9480844	0.9751727	-1.0077406
1779095_at	8.81E-04	0.031493105	2.1280563		1779100_at	0.8885526	0.94093305	-1.0115064		1779232_at	0.003151771	0.016370034	1.2727437		1779232_at	0.2709276	0.525845	-1.1237228		1779101_at	0.32722303	0.6350642	1.0924375
1779094_at	2.53E-05	0.012944995	-18.156006		1779099_at	0.17649165	0.3667175	-1.1816239		1779231_at	0.8943853	0.94296473	-1.0100427		1779231_at	0.64955014	0.8254042	-1.0560639		1779100_at	0.7929973	0.90618074	1.0269884
1779093_at	0.006886001	0.07369541	1.2092658		1779098_at	0.19527438	0.391106	1.1413814		1779230_at	0.43230787	0.62345237	1.05173		1779230_at	0.47481307	0.7041948	1.041324		1779099_at	0.5003699	0.748111	1.067919
1779092_at	0.08109918	0.2736856	-1.1428086		1779097_at	0.002957525	0.0326524	-1.5103425		1779229_at	0.024308613	0.07831501	-1.1859152		1779229_at	0.9833219	0.99304515	1.0019481		1779098_at	0.5707658	0.7906682	1.0486094
1779091_at	0.72365636	0.8588833	1.0588938		1779096_at	0.001962657	0.026345724	-1.6286694		1779228_at	0.6274012	0.7769991	-1.0287442		1779228_at	0.62448895	0.8105969	-1.0275773		1779097_at	0.10866525	0.5033901	-1.1562392
1779090_at	0.8063306	0.90433955	-1.0127274		1779095_at	0.004897196	0.04169831	1.9477754		1779227_at	0.14617574	0.30903628	1.1116376		1779227_at	0.26349497	0.518824	-1.2393705		1779096_at	0.0512386	0.5033901	1.3517241
1779089_at	0.14021796	0.36871436	-1.1619062		1779094_at	3.82E-05	0.004416066	-28.359625		1779226_at	0.3696195	0.5676225	1.0437253		1779226_at	0.86174273	0.9387779	1.0149868		1779095_at	0.26667768	0.58592534	-1.1342897
1779088_at	0.7528572	0.87507236	1.0466894		1779093_at	0.1224073	0.29148737	1.0661911		1779225_at	0.89239097	0.9422269	1.0110617		1779225_at	0.4876472	0.71621466	-1.060075		1779094_at	0.83694166	0.9244299	-1.0165125
1779087_at	0.56435597	0.76010245	-1.0791043		1779092_at	0.24197584	0.44644707	-1.10901		1779224_at	0.38896528	0.58475894	-1.037724		1779224_at	0.0941255	0.28383455	-1.1236163		1779093_at	0.17917542	0.5242041	-1.0458088
1779086_at	0.054717477	0.22221489	-1.1215556		1779091_at	0.46148044	0.64760166	-1.1311153		1779223_at	0.004550953	0.021585423	-1.1934171		1779223_at	0.15033907	0.37670767	-1.1489149		1779092_at	0.2563	0.5780903	-1.0517718
1779084_at	0.2672032	0.5169504	1.1419485		1779090_at	0.68432546	0.815421	1.042669		1779222_at	0.11613331	0.2623533	1.0752109		1779222_at	0.14356354	0.36741507	-1.0364405		1779091_at	0.6676096	0.8407043	1.0530183
1779083_at	0.009442689	0.087535195	1.3341095		1779089_at	0.13432318	0.3084884	-1.057506		1779221_at	0.79656655	0.88500196	1.0423642		1779221_at	0.42925188	0.6682953	1.0448673		1779090_at	0.93828	0.9699619	1.0121537
1779082_at	0.33816138	0.58514655	-1.0710999		1779088_at	0.74259627	0.8531137	-1.0502391		1779220_at	0.9653463	0.98133713	-1.0033687		1779220_at	0.6336316	0.8163594	-1.0333394		1779089_at	0.7647944	0.89145535	1.0089396
1779081_at	0.8203233	0.9131842	-1.0187386		1779087_at	0.74995255	0.85776204	-1.0374442		1779219_at	1.14E-04	0.001663088	1.2032926		1779219_at	1.45E-04	0.003887789	1.5046126		1779088_at	0.10115377	0.5033901	-1.1945155
1779080_at	0.015798276	0.11548599	-1.248115		1779086_at	0.7968833	0.88925725	-1.027712		1779218_s_at	0.039722376	0.11728887	-1.0276563		1779218_s_at	0.001379108	0.015210612	-1.0702299		1779087_at	0.18191174	0.52511275	-1.2115763
1779079_at	0.2480357	0.49657646	1.0548869		1779084_at	0.108593	0.27137202	-1.145667		1779217_at	0.30621937	0.50484526	1.0463182		1779217_at	0.01241446	0.06779871	-1.1376154		1779086_at	0.7394458	0.87936896	-1.0282656
1779078_at	0.024570547	0.14365427	-1.1189054		1779083_at	0.001199725	0.020681575	1.5855836		1779216_at	0.16106755	0.33066806	-1.1012456		1779216_at	0.18235987	0.41980803	-1.1723286		1779084_at	0.8973535	0.95290285	1.0091879
1779077_at	0.5545901	0.7539724	-1.0275685		1779082_at	0.52270716	0.69836146	1.0732917		1779215_at	0.84038055	0.91116965	-1.022632		1779215_at	0.31717896	0.5698063	-1.0456406		1779083_at	0.99101835	0.99456924	1.0012419
1779076_at	0.5231859	0.73244536	-1.0460945		1779081_at	0.566589	0.7323097	1.0480423		1779214_at	0.13806434	0.29666752	1.0802082		1779214_at	0.29878876	0.5534486	1.0485904		1779082_at	0.048403226	0.5033901	1.1325562
1779075_at	0.05459849	0.22205806	-1.2442378		1779080_at	0.52813125	0.7026019	1.036246		1779213_at	8.42E-04	0.006166021	1.3187649		1779213_at	0.020773843	0.09983138	1.3282969		1779081_at	0.9141578	0.959803	1.0071042
1779074_at	0.79420847	0.89878756	1.1176753		1779079_at	0.021201776	0.0978988	1.1663318		1779212_at	1.01E-04	0.00155771	1.2571663		1779212_at	0.001135702	0.013302199	1.2524457		1779080_at	0.98847073	0.99343944	-1.0009294
