"#Data was processed in Genespring 11.5.1.  Note filtering was not the same for CSM data as for YPD data, so number of probes differs.  Also, fold changes are NOT log2."																							
	"gal11-myc med3? vs BY4741, YPD"				"gal11? med3? vs BY4741, YPD"					"gal11-myc med3? vs BY4741, CSM"					"gal11? med3? vs BY4741, CSM"					"BY4741 vs BY4742, YPD"			
Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change
RPTR-Sc-M15077-1_at	0.49900594	0.7145684	-1.0825673		RPTR-Sc-M10961-4_at	0.9466222	0.9725925	-1.0061511		RPTR-Sc-M15077-1_s_at	0.89751387	0.94489706	1.003533		RPTR-Sc-M15077-1_s_at	0.5564022	0.76386476	1.031046		RPTR-Sc-K01486-1_s_at	0.53323036	0.76734465	1.0466387
RPTR-Sc-K01486-1_s_at	0.54526824	0.74796045	1.2045574		RPTR-Sc-M10961-1_at	0.28805885	0.49329242	1.1043527		RPTR-Sc-M15077-1_at	0.36611706	0.5643853	-1.1136538		RPTR-Sc-M15077-1_at	0.94181216	0.977224	1.007246		RPTR-Sc-J01636-4_at	0.50365114	0.750359	1.1144079
RPTR-Sc-J01636-4_at	0.4888605	0.70662075	1.130413		RPTR-Sc-K01486-1_s_at	0.020639848	0.09629969	1.658182		RPTR-Sc-M10961-4_at	0.76367825	0.8636527	-1.015523		RPTR-Sc-M10961-4_at	0.21795145	0.46683133	-1.1108166		RPTR-Sc-J01636-3_at	0.8971776	0.95290285	-1.0101289
RPTR-Sc-J01636-3_at	0.29787648	0.5453858	-1.137004		RPTR-Sc-J01636-4_at	0.7569259	0.86252874	1.0371152		RPTR-Sc-M10961-2_at	0.7961155	0.8847766	1.0471617		RPTR-Sc-M10961-2_at	0.7756894	0.89643973	-1.0543019		RPTR-Sc-J01636-1_at	0.53009546	0.7652518	-1.032338
RPTR-Sc-J01636-1_at	0.0384642	0.18393967	-1.2129709		RPTR-Sc-J01636-3_at	0.30844185	0.5133383	-1.1180828		RPTR-Sc-M10961-1_at	0.6510842	0.79277205	-1.0293001		RPTR-Sc-M10961-1_at	0.84274364	0.93147594	1.0135943		RPTR-Sc-J01347-4_at	0.5993548	0.8068133	1.0224293
RPTR-Sc-J01347-4_at	0.18536527	0.42731804	1.1204168		RPTR-Sc-J01636-1_at	0.1756988	0.36566952	-1.1415739		RPTR-Sc-K01486-1_s_at	5.30E-04	0.004475568	2.216446		RPTR-Sc-K01486-1_s_at	0.009936816	0.05754612	1.8825053		RPTR-Sc-J01347-3_at	0.031577844	0.5033901	1.299064
RPTR-Sc-J01347-3_at	0.11717858	0.3337485	1.2569704		RPTR-Sc-J01347-4_at	8.31E-04	0.017495202	1.4806527		RPTR-Sc-J01636-4_at	0.16837832	0.34074783	1.0412089		RPTR-Sc-J01636-4_at	0.31299567	0.5663489	1.0430794		RPTR-Sc-J01347-2_at	0.704732	0.8612424	-1.0505464
RPTR-Sc-J01347-2_at	0.45988062	0.6868239	-1.0909579		RPTR-Sc-J01347-3_at	4.86E-04	0.013569613	2.290503		RPTR-Sc-J01636-3_at	0.11991936	0.26837575	-1.0939739		RPTR-Sc-J01636-3_at	0.8778227	0.9453874	1.0174918		RPTR-Sc-J01347-1_s_at	0.54021955	0.77169687	1.0489271
RPTR-Sc-J01347-1_s_at	0.40842038	0.64621645	-1.1202146		RPTR-Sc-J01347-2_at	0.29040208	0.4957933	1.1206661		RPTR-Sc-J01636-1_at	0.94114757	0.97013754	-1.0056758		RPTR-Sc-J01636-1_at	0.9907544	0.99640757	-1.0014417		RPTR-Sc-J01347-1_at	0.26444897	0.58398205	-1.1262244
RPTR-Sc-J01347-1_at	0.014650052	0.11106564	-1.4396787		RPTR-Sc-J01347-1_s_at	0.95516086	0.976528	1.0117998		RPTR-Sc-J01347-4_at	1.63E-05	6.29E-04	2.0581377		RPTR-Sc-J01347-4_at	1.69E-05	0.001436286	2.3524466		RPTR-Sc-ECOLOXB_at	0.68609184	0.85138345	1.0375806
