gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YAL003W	EFB1	8062.936704	0.165981693	0.202689527	-0.818896249	0.41284561	0.743522835	0.128705689
YAL005C	SSA1	22674.35876	0.326061274	0.234065107	-1.393036655	0.163608707	0.523299589	0.281249606
YAL012W	CYS3	6494.226749	-0.00301127	0.161180949	0.018682542	0.985094355	0.994329703	0.002469587
YAL016W	TPD3	6038.16983	0.017926475	0.149304473	-0.120066563	0.90443042	0.962226926	0.016722494
YAL017W	PSK1	6425.810599	0.089522926	0.173803465	-0.515081369	0.606496161	0.859254959	0.065877953
YAL026C	DRS2	6433.764916	0.203149157	0.162549421	-1.249768569	0.211384101	0.564317165	0.24847674
YAL031C	GIP4	4401.63527	-0.14667084	0.127266939	1.152466156	0.249129569	0.607973688	0.216115216
YAL034C	FUN19	9539.869108	0.01990231	0.172215409	-0.115566371	0.907996217	0.962226926	0.016722494
YAL035W	FUN12	6566.626893	0.055324807	0.156623124	-0.353235241	0.72391209	0.898968635	0.046255461
YAL038W	CDC19	126942.0841	0.354356784	0.186680185	-1.898202445	0.057669419	0.322595217	0.491342076
YAL042W	ERV46	5170.251304	0.00278868	0.112043541	-0.024889251	0.980143301	0.991690381	0.003623899
YAL044C	GCV3	4991.801916	0.108580802	0.138921783	-0.781596662	0.434451649	0.760884834	0.118681072
YAL053W	FLC2	9241.030391	0.168559847	0.150988787	-1.116373275	0.264262388	0.62366054	0.205051734
YAL056W	GPB2	6615.697127	0.02860655	0.087522989	-0.326846132	0.743784266	0.904184037	0.043743165
YAL060W	BDH1	6527.556729	0.055861902	0.180585643	-0.309337447	0.757064848	0.907483315	0.042161351
YAL061W	BDH2	31543.49693	-0.494033443	0.246719553	2.002408955	0.045240766	0.282470539	0.549026842
YAL062W	GDH3	13738.08421	0.015753327	0.233036608	-0.067600226	0.946103876	0.979703402	0.008905384
YBL001C	ECM15	6757.922291	0.183041613	0.119446981	-1.532408879	0.125421568	0.480548567	0.318262713
YBL007C	SLA1	8389.833747	0.068902702	0.108267809	-0.636409869	0.52450931	0.822429409	0.084901368
YBL017C	PEP1	6084.35574	-0.096157055	0.093046963	1.033424969	0.301405066	0.654838388	0.183865869
YBL022C	PIM1	6105.698305	0.093008165	0.090380572	-1.029072551	0.303445584	0.655876549	0.183177897
YBL027W	RPL19B	13138.50034	0.08731834	0.200680007	-0.435112304	0.663480913	0.87190111	0.05953277
YBL030C	PET9	12069.49453	-0.305503265	0.191849222	1.59241336	0.111291856	0.462115186	0.335249759
YBL033C	RIB1	10496.42757	0.362757456	0.126032829	-2.878277496	0.003998532	0.082223342	1.085004873
YBL036C	YBL036C	6904.051515	0.13753195	0.125127912	-1.099130865	0.271710989	0.629646523	0.20090319
YBL041W	PRE7	5682.600007	0.142368486	0.146627845	-0.970951225	0.331572568	0.68182528	0.1663269
YBL043W	ECM13	5530.087235	0.472265295	0.204200641	-2.312751282	0.020736318	0.191392432	0.718075239
YBL045C	COR1	11031.71066	-0.108817116	0.172568035	0.630575157	0.528318347	0.823208628	0.084490087
YBL047C	EDE1	8235.251495	0.072773274	0.14235342	-0.511215494	0.609200171	0.861018635	0.064987449
YBL049W	MOH1	10530.45172	0.216759325	0.110219687	-1.966611686	0.049227995	0.295224202	0.529848042
YBL050W	SEC17	5669.713884	0.027624477	0.141171371	-0.195680449	0.844860288	0.940392771	0.026690718
YBL054W	TOD6	4846.767039	0.031246816	0.194045347	-0.16102842	0.872071017	0.949737048	0.02239662
YBL056W	PTC3	6416.232551	-0.013192919	0.082094809	0.160703448	0.872326974	0.949737048	0.02239662
YBL058W	SHP1	8632.379654	0.040947535	0.152958573	-0.267703432	0.788927608	0.917886436	0.037211048
YBL064C	PRX1	13950.14474	0.048494698	0.197822825	-0.245142077	0.806346424	0.925294181	0.033720169
YBL072C	RPS8A	6537.485528	0.096495538	0.204280776	-0.4723672	0.636664712	0.862259897	0.064361812
YBL076C	ILS1	18047.23299	0.212240608	0.092900795	-2.284594103	0.022336639	0.201305512	0.696144333
