gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YGR248W	SOL4	3810.003838	0.046343877	0.324083761	-0.14299969	0.886290426	0.999020118	0.000425766
YGR250C	RIE1	19198.42086	-0.352513112	0.172390919	2.044847341	0.040869911	0.719095326	0.143213534
YGR251W	NOP19	2001.448956	0.004784444	0.126758903	-0.037744441	0.969891442	0.999020118	0.000425766
YGR252W	GCN5	2503.222906	0.114871072	0.083041498	-1.383297201	0.166573756	0.971825594	0.012411667
YGR253C	PUP2	5099.887967	0.062564707	0.1085186	-0.576534405	0.564254022	0.999020118	0.000425766
YGR254W	ENO1	118164.7984	0.166789683	0.173824936	-0.959526787	0.337293432	0.999020118	0.000425766
YGR255C	COQ6	6030.796885	0.201453188	0.184709882	-1.090646505	0.275428458	0.999020118	0.000425766
YGR256W	GND2	6180.621037	0.091477193	0.216001294	-0.423502985	0.671928321	0.999020118	0.000425766
YGR257C	MTM1	3033.73785	0.113850234	0.09520783	-1.195807474	0.231771699	0.999020118	0.000425766
YGR258C	RAD2	6732.868072	0.088397868	0.129658203	-0.681776131	0.495380519	0.999020118	0.000425766
YGR260W	TNA1	29102.00189	0.102942996	0.17568509	-0.585951809	0.5579079	0.999020118	0.000425766
YGR261C	APL6	2976.3119	0.016715331	0.124415982	-0.134350354	0.893125538	0.999020118	0.000425766
YGR264C	MES1	5913.88448	0.226045944	0.149218723	-1.514863146	0.129807065	0.936945704	0.028285576
YGR267C	FOL2	10376.04946	-0.009763164	0.1286082	0.07591401	0.939487511	0.999020118	0.000425766
YGR268C	HUA1	3723.029196	-0.419789553	0.138132254	3.039040771	0.002373327	0.214433331	0.668707708
YGR270W	YTA7	6639.210777	-0.010111723	0.123321865	0.081994567	0.934651034	0.999020118	0.000425766
YGR271W	SLH1	2495.876802	-0.023471139	0.09602615	0.244424451	0.806902107	0.999020118	0.000425766
YGR274C	TAF1	3337.141381	0.014294073	0.099437663	-0.143749086	0.885698608	0.999020118	0.000425766
YGR276C	RNH70	3102.714486	-0.008453096	0.090678525	0.093220479	0.925728405	0.999020118	0.000425766
YGR279C	SCW4	3415.96264	0.043795423	0.190219398	-0.230236365	0.817908106	0.999020118	0.000425766
YGR280C	PXR1	4410.119107	-0.069319829	0.099823698	0.69442257	0.487417244	0.999020118	0.000425766
YGR281W	YOR1	15386.73842	0.11701551	0.203920678	-0.573828564	0.566083817	0.999020118	0.000425766
YGR282C	BGL2	50284.04178	-0.023333258	0.089207469	0.261561705	0.793659371	0.999020118	0.000425766
YGR285C	ZUO1	5346.636774	0.070064244	0.109496218	-0.639878213	0.522251779	0.999020118	0.000425766
YGR286C	BIO2	15785.47851	-0.144808573	0.290442908	0.498578444	0.618076394	0.999020118	0.000425766
YGR288W	MAL13	3194.97566	-0.316393548	0.16597871	1.906229708	0.056620409	0.795302642	0.099467575
YGR295C	COS6	7290.374776	-0.092112143	0.126594879	0.727613495	0.466850218	0.999020118	0.000425766
YHL001W	RPL14B	3086.897981	0.233548749	0.17492988	-1.33509923	0.181843872	0.998200431	0.000782247
YHL002W	HSE1	4559.857723	0.051028743	0.149219303	-0.341971462	0.732372369	0.999020118	0.000425766
YHL003C	LAG1	2855.228689	0.084868635	0.103475372	-0.820181972	0.412112377	0.999020118	0.000425766
YHL004W	MRP4	2712.729038	0.038756467	0.094603786	-0.409671413	0.682047003	0.999020118	0.000425766
YHL007C	STE20	6008.172277	-0.013891343	0.172263805	0.080639938	0.935728303	0.999020118	0.000425766
YHL008C	YHL008C	4595.51617	-0.100367193	0.10264015	0.977855086	0.328146001	0.999020118	0.000425766
YHL011C	PRS3	6090.593921	-0.031943973	0.196934923	0.162205729	0.871143848	0.999020118	0.000425766
YHL015W	RPS20	12507.32965	0.195922585	0.19607493	-0.999223029	0.317686663	0.999020118	0.000425766
YHL016C	DUR3	23819.78764	0.222679267	0.282960775	-0.786961611	0.431304339	0.999020118	0.000425766
YHL020C	OPI1	4322.369728	-0.148431542	0.100707309	1.473890455	0.140511088	0.941756255	0.026061487
YHL021C	AIM17	9716.268962	-0.56343135	0.286403462	1.967264452	0.049152731	0.766585502	0.115439399
YHL023C	NPR3	2594.379912	-0.131417787	0.131572554	0.998823713	0.317880097	0.999020118	0.000425766
YHL025W	SNF6	3904.846724	-0.015123975	0.097242385	0.155528628	0.876404587	0.999020118	0.000425766
YHL027W	RIM101	13917.5606	-0.07654548	0.084902922	0.901564736	0.367288131	0.999020118	0.000425766
YHL029C	OCA5	5192.637234	0.116182602	0.115862171	-1.002765624	0.315973958	0.999020118	0.000425766
YHL032C	GUT1	7711.328578	-0.451378583	0.288433137	1.564933171	0.11759858	0.936464054	0.028508888
YHL033C	RPL8A	9056.184989	-0.013020037	0.292620903	0.044494557	0.964510191	0.999020118	0.000425766
YHL034C	SBP1	12910.87103	-0.051291422	0.111645736	0.459412275	0.645938135	0.999020118	0.000425766
YHL036W	MUP3	2963.365882	0.019345015	0.163704343	-0.118170443	0.905932609	0.999020118	0.000425766
YHL038C	CBP2	2307.20932	0.102762763	0.142288912	-0.722212026	0.47016413	0.999020118	0.000425766
YHL039W	EFM1	2443.204484	-0.025816199	0.109367678	0.236049619	0.813394167	0.999020118	0.000425766
