gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YAL001C	TFC3	3711.709608	-0.073403446	0.144607524	0.507604611	0.611730656	0.999691806	0.000133868
YAL002W	VPS8	3678.371812	0.016195339	0.10805537	-0.149880005	0.880859288	0.999691806	0.000133868
YAL003W	EFB1	8062.936704	0.171502634	0.202723879	-0.845991282	0.397557608	0.999691806	0.000133868
YAL005C	SSA1	22674.35876	0.294001784	0.234076023	-1.256009824	0.209112408	0.999691806	0.000133868
YAL007C	ERP2	744.1084943	0.018244883	0.119712006	-0.152406458	0.878866364	0.999691806	0.000133868
YAL008W	FUN14	3237.268957	0.009320079	0.122641718	-0.075994364	0.939423582	0.999691806	0.000133868
YAL009W	SPO7	1572.320434	0.09099061	0.133678455	-0.680667728	0.496081761	0.999691806	0.000133868
YAL010C	MDM10	1130.669532	-0.160885677	0.109471589	1.46965691	0.141654699	0.999691806	0.000133868
YAL011W	SWC3	1847.199539	-0.061457437	0.118839776	0.51714535	0.605054698	0.999691806	0.000133868
YAL012W	CYS3	6494.226749	0.051543777	0.161229995	-0.319690994	0.749202587	0.999691806	0.000133868
YAL013W	DEP1	3771.076468	0.002365792	0.103892095	-0.022771626	0.981832442	0.999691806	0.000133868
YAL014C	SYN8	2962.39388	0.042414559	0.120376479	-0.352349225	0.724576376	0.999691806	0.000133868
YAL015C	NTG1	3196.338811	-0.100269876	0.123560857	0.811501944	0.417077477	0.999691806	0.000133868
YAL016W	TPD3	6038.16983	0.144148946	0.149336061	-0.965265489	0.334411853	0.999691806	0.000133868
YAL017W	PSK1	6425.810599	0.11568189	0.173857964	-0.665381601	0.50580645	0.999691806	0.000133868
YAL019W	FUN30	3083.208237	-0.074017666	0.156783229	0.472101936	0.636854031	0.999691806	0.000133868
YAL020C	ATS1	1758.460541	0.049387943	0.125454217	-0.393673039	0.693822449	0.999691806	0.000133868
YAL021C	CCR4	3065.971729	-0.082172252	0.112326344	0.731549242	0.464443739	0.999691806	0.000133868
YAL022C	FUN26	2497.894946	0.105801886	0.09480388	-1.116007976	0.264418721	0.999691806	0.000133868
YAL023C	PMT2	2789.445955	0.052655338	0.085137319	-0.618475405	0.536262005	0.999691806	0.000133868
YAL024C	LTE1	466.5419767	-0.435974412	0.241026798	1.80882132	0.070478767	0.999691806	0.000133868
YAL025C	MAK16	3080.033872	-0.045112401	0.181400962	0.248688874	0.803601456	0.999691806	0.000133868
YAL026C	DRS2	6433.764916	-0.022988455	0.162690036	0.141302169	0.887631236	0.999691806	0.000133868
YAL026C-A	YAL026C-A	478.5006708	-0.01007328	0.195760547	0.051457149	0.958961247	0.999691806	0.000133868
YAL027W	SAW1	1028.565533	-0.065376146	0.146440916	0.446433604	0.655284064	0.999691806	0.000133868
YAL028W	FRT2	1363.975426	0.045578675	0.223468389	-0.203960279	0.838384539	0.999691806	0.000133868
YAL029C	MYO4	3148.52308	-0.107482638	0.150700759	0.713218955	0.475710279	0.999691806	0.000133868
YAL030W	SNC1	1641.705732	0.142375188	0.155215543	-0.917274042	0.358999056	0.999691806	0.000133868
YAL031C	GIP4	4401.63527	0.06015825	0.127268019	-0.472689446	0.636434758	0.999691806	0.000133868
YAL032C	PRP45	2136.297346	0.020481295	0.095087852	-0.215393392	0.829460622	0.999691806	0.000133868
YAL033W	POP5	459.532536	-0.11877607	0.166410378	0.713753983	0.475379319	0.999691806	0.000133868
YAL034C	FUN19	9539.869108	0.131073832	0.17223536	-0.761015808	0.446647625	0.999691806	0.000133868
YAL035W	FUN12	6566.626893	-0.060108877	0.156731501	0.383514971	0.701337972	0.999691806	0.000133868
YAL036C	RBG1	3070.229499	0.043437724	0.186572911	-0.232819028	0.815901937	0.999691806	0.000133868
YAL037W	YAL037W	1332.821409	0.184628714	0.138564391	-1.332439825	0.182715703	0.999691806	0.000133868
YAL038W	CDC19	126942.0841	0.149211306	0.186684712	-0.799269014	0.424134442	0.999691806	0.000133868
YAL039C	CYC3	3555.469488	-0.096366524	0.147410787	0.653727766	0.513287211	0.999691806	0.000133868
YAL040C	CLN3	3373.638529	-0.242442833	0.280401403	0.864627747	0.387243138	0.999691806	0.000133868
YAL041W	CDC24	2953.771191	0.033651675	0.092019127	-0.36570305	0.71458667	0.999691806	0.000133868
YAL042W	ERV46	5170.251304	-0.032566379	0.112201371	0.290249384	0.771625459	0.999691806	0.000133868
YAL043C	PTA1	3871.920178	-0.084058513	0.103771511	0.810034583	0.4179203	0.999691806	0.000133868
YAL044C	GCV3	4991.801916	0.121695992	0.139028351	-0.875332198	0.38139318	0.999691806	0.000133868
YAL044W-A	BOL1	1946.524749	0.052747112	0.109701365	-0.48082457	0.630641186	0.999691806	0.000133868
YAL046C	BOL3	772.0365653	0.05017556	0.126662159	-0.396136941	0.692004008	0.999691806	0.000133868
YAL047C	SPC72	1135.868874	0.007663615	0.14605356	-0.052471262	0.958153193	0.999691806	0.000133868
YAL048C	GEM1	2257.073107	-0.102021768	0.121798922	0.837624553	0.402241599	0.999691806	0.000133868
YAL049C	AIM2	2330.665973	-0.093050086	0.10439593	0.89131909	0.37275801	0.999691806	0.000133868
YAL051W	OAF1	3988.613123	0.037352207	0.120530169	-0.309899234	0.756637585	0.999691806	0.000133868
YAL053W	FLC2	9241.030391	-0.063998527	0.151094481	0.423566278	0.671882153	0.999691806	0.000133868
YAL054C	ACS1	2175.180972	-0.039826834	0.150254269	0.265062911	0.790960998	0.999691806	0.000133868
YAL055W	PEX22	1144.737495	-0.130943468	0.174941667	0.748497888	0.454159898	0.999691806	0.000133868
YAL056W	GPB2	6615.697127	0.050220229	0.087645078	-0.572995431	0.566647788	0.999691806	0.000133868
YAL058W	CNE1	1360.077469	-0.023098777	0.087685413	0.263427813	0.792220856	0.999691806	0.000133868
YAL059W	ECM1	1318.105895	-0.054672004	0.13687074	0.399442594	0.689567114	0.999691806	0.000133868
YAL060W	BDH1	6527.556729	0.26906377	0.18058448	-1.489960652	0.136234582	0.999691806	0.000133868
YAL061W	BDH2	31543.49693	0.235863805	0.246705343	-0.95605471	0.339044595	0.999691806	0.000133868
YAL062W	GDH3	13738.08421	0.068373174	0.233052065	-0.29338154	0.769230534	0.999691806	0.000133868
YAL063C	FLO9	481.624709	-0.073816893	0.178640725	0.413214246	0.679449651	0.999691806	0.000133868
YAL067C	SEO1	380.7264654	-0.510928446	0.28678402	1.7815792	0.074817879	0.999691806	0.000133868
YAR002C-A	ERP1	2105.554278	-0.122783449	0.101606755	1.208418169	0.226886455	0.999691806	0.000133868
YAR002W	NUP60	2547.295733	-0.041828235	0.094312015	0.443509079	0.657397554	0.999691806	0.000133868
YAR003W	SWD1	1650.105402	0.020527557	0.10848605	-0.189218403	0.849921645	0.999691806	0.000133868
YAR007C	RFA1	1490.181818	-0.330482928	0.120832661	2.735046335	0.00623715	0.454292062	0.342664852
YAR008W	SEN34	522.7934226	-0.464621374	0.175071019	2.653902274	0.007956687	0.509313318	0.293014967
YAR014C	BUD14	4275.114451	-0.003639044	0.098833938	0.036819778	0.970628704	0.999691806	0.000133868
YAR015W	ADE1	3033.127863	-0.245487746	0.146541711	1.67520731	0.093893564	0.999691806	0.000133868
YAR019C	CDC15	2060.065551	-0.171149958	0.178986733	0.95621589	0.338963174	0.999691806	0.000133868
YAR020C	PAU7	314.0147176	0.076103611	0.154312668	-0.493177987	0.62188683	0.999691806	0.000133868
YAR023C	YAR023C	767.8440765	0.021201675	0.133551289	-0.158753055	0.873863436	0.999691806	0.000133868
YAR027W	UIP3	3639.254823	0.139467492	0.119968897	-1.162530412	0.245020079	0.999691806	0.000133868
YAR028W	YAR028W	3009.477589	0.223803882	0.120409595	-1.858688111	0.06307136	0.999691806	0.000133868
YAR029W	YAR029W	834.6641466	0.274011536	0.146104128	-1.87545376	0.060730325	0.994468862	0.002408811
YAR031W	PRM9	309.660947	0.257753568	0.173194026	-1.488235906	0.136688691	0.999691806	0.000133868
YAR042W	SWH1	4163.508929	-0.062190098	0.170637706	0.364456951	0.715516814	0.999691806	0.000133868
YAR050W	FLO1	444.8950929	-0.009917314	0.155838356	0.063638468	0.949258101	0.999691806	0.000133868
YBL001C	ECM15	6757.922291	0.0648374	0.119600385	-0.54211698	0.587737922	0.999691806	0.000133868
YBL002W	HTB2	3656.053037	0.214156173	0.139880321	-1.530995718	0.125770451	0.999691806	0.000133868
YBL003C	HTA2	2892.30595	-0.020426787	0.215765772	0.09467112	0.924576058	0.999691806	0.000133868
YBL004W	UTP20	2746.198653	-0.119410397	0.142107443	0.840282497	0.400750013	0.999691806	0.000133868
YBL005W	PDR3	2433.350485	-0.103705967	0.148614209	0.69782	0.48528977	0.999691806	0.000133868
YBL006C	LDB7	2688.87088	0.155041041	0.15451562	-1.003400438	0.315667693	0.999691806	0.000133868
YBL007C	SLA1	8389.833747	0.074675051	0.108350504	-0.689198933	0.490698088	0.999691806	0.000133868
YBL008W	HIR1	1580.179613	-0.09712785	0.135916547	0.714613871	0.474847671	0.999691806	0.000133868
YBL009W	ALK2	520.7286895	-0.21368996	0.253536915	0.842835689	0.399320345	0.999691806	0.000133868
YBL010C	LAA2	695.6946988	-0.065820346	0.131568294	0.500275136	0.616881359	0.999691806	0.000133868
YBL011W	SCT1	3731.854419	0.068214335	0.180951805	-0.376975154	0.706192069	0.999691806	0.000133868
YBL014C	RRN6	1626.826546	-0.063281526	0.129218827	0.489723731	0.624329407	0.999691806	0.000133868
YBL015W	ACH1	3847.99293	0.032651232	0.167394707	-0.195055344	0.845349621	0.999691806	0.000133868
YBL016W	FUS3	2230.305514	0.107575973	0.142110191	-0.756989854	0.449055941	0.999691806	0.000133868
YBL017C	PEP1	6084.35574	-0.110366645	0.09321017	1.184062267	0.236388416	0.999691806	0.000133868
YBL018C	POP8	1166.609588	0.168000658	0.110306126	-1.523040141	0.127748663	0.999691806	0.000133868
YBL019W	APN2	2071.947772	0.000228143	0.109210746	-0.002089013	0.99833321	0.999691806	0.000133868
YBL020W	RFT1	2299.868873	-0.007523056	0.136981251	0.054920336	0.95620193	0.999691806	0.000133868
YBL021C	HAP3	968.1079383	-0.037936366	0.138377751	0.274150764	0.783968764	0.999691806	0.000133868
YBL022C	PIM1	6105.698305	-0.103979265	0.090684243	1.146607848	0.251543731	0.999691806	0.000133868
YBL023C	MCM2	955.9439352	-0.401447233	0.166670915	2.408622004	0.016012873	0.691408506	0.160265282
YBL024W	NCL1	2728.071859	-0.08051148	0.188767263	0.426511881	0.669734893	0.999691806	0.000133868
YBL025W	RRN10	1208.11624	0.113160839	0.119303918	-0.948508995	0.342870396	0.999691806	0.000133868
YBL026W	LSM2	1037.822371	0.122753955	0.129594067	-0.947218944	0.343527224	0.999691806	0.000133868
YBL027W	RPL19B	13138.50034	0.153538586	0.200695558	-0.765032312	0.444252304	0.999691806	0.000133868
YBL028C	YBL028C	1358.224388	-0.252379306	0.159883439	1.578520623	0.114446054	0.999691806	0.000133868
YBL029C-A	YBL029C-A	2166.18928	0.11999202	0.170065657	-0.705562911	0.480459996	0.999691806	0.000133868
YBL029W	YBL029W	2182.498432	0.088916453	0.17717942	-0.501844138	0.615777163	0.999691806	0.000133868
YBL030C	PET9	12069.49453	0.00599764	0.19183572	-0.031264461	0.975058632	0.999691806	0.000133868
YBL032W	HEK2	1655.673076	0.065029989	0.120273279	-0.54068526	0.58872454	0.999691806	0.000133868
YBL033C	RIB1	10496.42757	0.028688683	0.126179824	-0.227363474	0.82014112	0.999691806	0.000133868
YBL034C	STU1	1066.300753	-0.348252193	0.176381548	1.974425308	0.048333403	0.965319347	0.015328989
YBL035C	POL12	749.0747668	-0.291164289	0.15140611	1.923068286	0.054471475	0.970880793	0.012834091
YBL036C	YBL036C	6904.051515	0.026164147	0.125262609	-0.208874359	0.834546321	0.999691806	0.000133868
YBL037W	APL3	1070.195972	-0.379579963	0.135827427	2.794575233	0.005196795	0.386222898	0.413161982
YBL038W	MRPL16	2795.023495	0.111711179	0.144576154	-0.772680526	0.439711474	0.999691806	0.000133868
YBL039C	URA7	2863.959526	-0.067672969	0.260429632	0.259851265	0.794978505	0.999691806	0.000133868
YBL039W-B	MIN6	706.2471719	0.023265871	0.167130101	-0.139208142	0.889285675	0.999691806	0.000133868
YBL040C	ERD2	1001.107658	-0.106393257	0.158421265	0.671584445	0.501848284	0.999691806	0.000133868
YBL041W	PRE7	5682.600007	0.013290119	0.146765591	-0.090553368	0.927847486	0.999691806	0.000133868
YBL042C	FUI1	2468.144101	-0.032469351	0.33217021	0.097749136	0.922131498	0.999691806	0.000133868
YBL043W	ECM13	5530.087235	0.096612467	0.20432232	-0.472843431	0.636324886	0.999691806	0.000133868
YBL045C	COR1	11031.71066	0.073001567	0.172573048	-0.423018356	0.672281869	0.999691806	0.000133868
YBL046W	PSY4	1599.440527	-0.123346834	0.114379671	1.078398226	0.280856078	0.999691806	0.000133868
YBL047C	EDE1	8235.251495	0.02336174	0.142432078	-0.164020214	0.869715231	0.999691806	0.000133868
YBL048W	RRT1	3203.054667	0.189275458	0.140841419	-1.343890593	0.178983768	0.999691806	0.000133868
YBL049W	MOH1	10530.45172	0.236752755	0.110275388	-2.146922893	0.031799421	0.84723817	0.071994487
YBL050W	SEC17	5669.713884	0.049925965	0.141249264	-0.35346	0.723743611	0.999691806	0.000133868
