gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YBR090C	YBR090C	197.5916959	0.886665793	0.224759071	3.944961105	7.98E-05	0.000401605	3.396200574
YBR091C	TIM12	652.6241244	0.360139876	0.123163506	2.924079449	0.003454766	0.011499916	1.939305347
YBR092C	PHO3	2204.442756	0.422385575	0.300548982	1.405380157	0.159908264	0.272226283	0.565069947
YBR093C	PHO5	751.0375974	-0.289242626	0.114686238	-2.522034297	0.011667833	0.032721431	1.485167713
YBR094W	PBY1	1503.119989	-0.253189065	0.156971682	-1.612960131	0.10675317	0.198242778	0.702802626
YBR095C	RXT2	2249.563547	0.578383522	0.099120408	5.835160807	5.37E-09	5.73E-08	7.241974293
YBR096W	YBR096W	1047.534334	-0.409841937	0.114932523	-3.565935271	0.000362561	0.001552394	2.80899811
YBR097W	VPS15	1117.52339	-0.144591293	0.174788199	-0.827237157	0.408102655	0.554838118	0.25583371
YBR098W	MMS4	477.8840603	-0.775743097	0.130723504	-5.934228138	2.95E-09	3.28E-08	7.483864459
YBR099C	YBR099C	171.0756531	-0.406132692	0.179124376	-2.267322297	0.023370544	0.05812145	1.235663562
YBR101C	FES1	2979.231636	-0.034714916	0.137155776	-0.253105752	0.800186494	0.873277493	0.058847733
YBR102C	EXO84	2267.662484	-0.104483785	0.125849952	-0.830225073	0.406411542	0.552770871	0.257454851
YBR103C-A	YBR103C-A	7.756668467	-0.205550468	0.372635148	-0.551613203	0.581213388	0.710859402	0.148216288
YBR103W	SIF2	3241.720314	0.249016401	0.122759215	2.028494574	0.042509797	0.09490389	1.022715988
YBR104W	YMC2	4948.940562	-0.005164749	0.176139466	-0.029321928	0.976607839	0.984569092	0.006753802
YBR105C	VID24	25496.58157	1.133594966	0.166565477	6.805701797	1.01E-11	1.63E-10	9.786915049
YBR106W	SND3	10084.54014	0.30703635	0.231695138	1.325173903	0.185113479	0.305117105	0.515533445
YBR107C	IML3	846.952201	0.017744014	0.126870334	0.139859438	0.88877105	0.931606853	0.030767325
YBR108W	AIM3	3471.357839	-0.192012924	0.129029352	-1.488133678	0.136715644	0.241037564	0.61791527
YBR109C	CMD1	7014.013395	0.084039078	0.13641445	0.616057007	0.537856896	0.673854734	0.171433716
YBR109W-A	YBR109W-A	84.64437293	0.564800238	0.240912786	2.344417862	0.019056808	0.048952505	1.310225081
YBR110W	ALG1	3093.250096	0.200603477	0.119721254	1.675587834	0.093818953	0.178154303	0.749203683
YBR111C	YSA1	21167.63624	0.117377091	0.151424336	0.775153416	0.438249011	0.583906179	0.233656929
YBR111W-A	SUS1	1544.297685	-0.270629011	0.175579691	-1.541345756	0.123232658	0.221642522	0.654346916
YBR112C	CYC8	2685.260111	-0.041068641	0.117698091	-0.348932093	0.727140291	0.82344858	0.084363515
YBR113W	YBR113W	3.151499651	0.001961718	0.340478855	0.005761645	0.995402898	0.997231824	0.00120387
YBR114W	RAD16	8168.560326	0.905833098	0.208042897	4.354068842	1.34E-05	7.88E-05	4.103439642
YBR116C	YBR116C	262.2285548	-0.382964316	0.334235393	-1.145792229	0.251881131	0.386123674	0.41327357
YBR117C	TKL2	4601.563196	-0.364241524	0.298813498	-1.218959408	0.2228596	0.352195334	0.453216402
YBR118W	TEF2	7361.986948	-0.018181999	0.129528245	-0.14037092	0.888366933	0.931601936	0.030769618
YBR119W	MUD1	1961.414238	0.056187951	0.127966354	0.439083784	0.660600828	0.771908898	0.112433953
YBR120C	CBP6	1128.643282	0.46487065	0.126432453	3.67683011	0.00023615	0.001060782	2.974373794
YBR121C	GRS1	6018.801111	-0.111199671	0.182403941	-0.609634145	0.542104188	0.677473436	0.169107729
YBR122C	MRPL36	2392.752296	0.477800547	0.158670551	3.01127427	0.002601538	0.008987508	2.046360721
YBR123C	TFC1	2150.633366	-0.000681606	0.100749495	-0.006765349	0.994602073	0.996755225	0.001411479
YBR124W	YBR124W	87.80783908	-1.691711718	0.209305238	-8.08251019	6.34E-16	1.70E-14	13.76976201
YBR125C	PTC4	2115.661902	0.362478832	0.19265186	1.881522614	0.059900862	0.124628407	0.904382957
YBR126C	TPS1	18406.51822	0.594679211	0.257688922	2.307740692	0.021013563	0.053157262	1.2744374
YBR126W-A	MEO1	3367.03806	0.603406566	0.144479334	4.176421303	2.96E-05	0.000163756	3.78580153
YBR126W-B	YBR126W-B	1781.10624	0.489386787	0.173666013	2.817976747	0.004832731	0.015436634	1.811447406
YBR127C	VMA2	15833.41949	-0.238511604	0.12285092	-1.941471857	0.05220107	0.111950739	0.950973035
YBR128C	ATG14	1019.7047	0.471881025	0.247631882	1.905574599	0.05670542	0.119088733	0.924129326
YBR129C	OPY1	2609.014196	0.64956253	0.111000678	5.851878919	4.86E-09	5.25E-08	7.279827893
YBR130C	SHE3	1825.276021	0.349146307	0.117652085	2.967616828	0.003001182	0.010178263	1.992326325
YBR131C-A	YBR131C-A	1.928172423	-0.42006183	0.254741973	-1.648969836	0.099153815	0.186589974	0.729111695
YBR131W	CCZ1	1149.211109	-0.530286366	0.137792821	-3.848432467	0.000118876	0.000576075	3.239521102
YBR132C	AGP2	2755.114333	-0.177680979	0.239716153	-0.741214043	0.45856367	0.602990032	0.219689867
YBR133C	HSL7	1571.864921	-0.361983722	0.136176932	-2.658186803	0.007856233	0.023228216	1.633984151
YBR134W	YBR134W	9.783015179	-0.666227807	0.370961629	-1.795948031	0.072502783	0.144778383	0.839296278
YBR135W	CKS1	1193.441544	-0.041427906	0.111089119	-0.372924971	0.709204286	0.809359566	0.091858496
YBR136W	MEC1	1408.824989	-0.48352699	0.130829556	-3.695854408	0.000219149	0.000990447	3.004168553
YBR137W	YBR137W	2077.249352	-1.411053411	0.160577556	-8.787363866	1.53E-18	5.17E-17	16.28665496
YBR138C	YBR138C	107.7077048	-1.427785589	0.215428748	-6.627646504	3.41E-11	5.04E-10	9.297964894
YBR139W	ATG42	3786.658116	-0.362849959	0.238604798	-1.520715271	0.128331305	0.22893344	0.640290767
YBR140C	IRA1	7574.375362	0.235835624	0.153584715	1.535540983	0.124650998	0.223166608	0.651370788
YBR141C	BMT2	1324.353562	0.066008698	0.174718034	0.377801287	0.705578217	0.807211373	0.093012728
YBR141W-A	YBR141W-A	125.0504977	0.271996308	0.210064658	1.294821841	0.195381696	0.317360594	0.498447
YBR142W	MAK5	3774.781034	0.413575666	0.234018218	1.767279782	0.077181384	0.152550335	0.816586833
YBR143C	SUP45	6859.766192	0.031924841	0.124971088	0.255457816	0.798369521	0.87252631	0.059221469
YBR144C	YBR144C	9.726620708	-0.162843467	0.371761045	-0.438032627	0.661362632	0.772304724	0.112211309
YBR145W	ADH5	10916.59376	0.834352349	0.175465335	4.755083679	1.98E-06	1.36E-05	4.86632641
YBR146W	MRPS9	3916.111845	0.47047792	0.1010237	4.657104409	3.21E-06	2.11E-05	4.676592652
YBR147W	RTC2	12954.06406	0.81569276	0.265131181	3.076562916	0.002094021	0.007448601	2.127925306
YBR148W	YSW1	1005.619794	-0.652414817	0.226625349	-2.878825431	0.003991592	0.013091857	1.882998757
YBR149W	ARA1	13809.08281	0.369200355	0.152501219	2.420966586	0.0154793	0.041420869	1.382780799
YBR150C	TBS1	2030.402816	0.363938803	0.227590054	1.599098009	0.109798827	0.202506032	0.693562035
YBR151W	APD1	9796.78301	0.275159189	0.115031575	2.392031828	0.016755389	0.044196857	1.354608612
YBR152W	SPP381	962.8995026	0.292578218	0.114373245	2.55810017	0.010524577	0.029955988	1.523516356
YBR153W	RIB7	2356.049779	0.197241895	0.092593122	2.130200277	0.033155082	0.077741711	1.109345908
YBR154C	RPB5	2748.030366	-0.190166054	0.171067805	-1.111641403	0.266292363	0.402481531	0.395254043
YBR155W	CNS1	2652.142643	-0.307323692	0.128778582	-2.386450349	0.017011904	0.044782353	1.348893095
YBR156C	SLI15	599.3708191	-0.590014	0.169289091	-3.485245239	0.000491686	0.00203748	2.690906724
YBR157C	ICS2	8058.738651	1.639703878	0.310031921	5.288822762	1.23E-07	1.08E-06	5.967704159
YBR158W	AMN1	1514.277324	0.01053229	0.264534334	0.039814453	0.968241054	0.979983349	0.008781304
YBR159W	IFA38	2361.040548	-0.607057578	0.074840693	-8.111330278	5.01E-16	1.36E-14	13.86536984
YBR160W	CDC28	852.0185257	-0.179753745	0.142044636	-1.26547366	0.205701585	0.33064285	0.480640864
YBR161W	CSH1	1435.928214	-0.197806887	0.186657616	-1.059731134	0.289266935	0.428419798	0.368130468
YBR162C	TOS1	4714.225925	-0.35583044	0.223549007	-1.591733483	0.111444602	0.204731345	0.688815661
YBR162W-A	YSY6	2233.411999	0.477703245	0.115456822	4.137505586	3.51E-05	0.000190418	3.720292699
YBR163W	EXO5	2290.143736	0.226320408	0.111245669	2.034419958	0.041909271	0.093724633	1.02814625
YBR164C	ARL1	1272.911968	-0.080953481	0.111137209	-0.728410241	0.466362496	0.610481789	0.214327287
YBR165W	UBS1	2436.027255	0.301818518	0.119088793	2.534399008	0.011264039	0.031820506	1.497292914
YBR166C	TYR1	3557.379426	-0.243929075	0.175847429	-1.387163154	0.165392018	0.280090324	0.552701894
YBR167C	POP7	1160.970737	0.062699296	0.09419829	0.665609707	0.5056606	0.646260373	0.189592473
YBR168W	PEX32	1388.192587	-0.021824933	0.109510244	-0.199295811	0.842031356	0.900380336	0.045573998
YBR169C	SSE2	24805.1048	0.392857653	0.207694527	1.891516636	0.058555412	0.122339661	0.912432728
YBR170C	NPL4	5279.067555	-0.024844668	0.108854217	-0.228237988	0.819461231	0.883524387	0.053781459
YBR171W	SEC66	2141.912238	0.095666844	0.097994611	0.976245966	0.32894259	0.471237163	0.326760468
YBR172C	SMY2	3451.739932	-0.135826279	0.155781119	-0.87190463	0.383260408	0.529167171	0.276407107
YBR173C	UMP1	3768.849535	-0.077980343	0.120200619	-0.648751596	0.516498949	0.655074303	0.183709437
YBR174C	YBR174C	67.79407415	-0.873468294	0.224535946	-3.890104499	0.000100201	0.000494595	3.305750376
YBR175W	SWD3	867.3785328	-0.162032802	0.143811893	-1.126699594	0.259869514	0.395727049	0.402604263
YBR176W	ECM31	1554.657893	-0.179073484	0.129970516	-1.377800826	0.168264791	0.283990653	0.546695953
YBR177C	EHT1	7798.309535	-0.183795254	0.177204251	-1.037194385	0.299645274	0.440263211	0.356287604
YBR178W	YBR178W	12.63064342	-0.94870924	0.373190859	-2.542155626	0.011017111	0.031152659	1.506504877
YBR179C	FZO1	3470.210034	-0.120813551	0.097378946	-1.240653714	0.2147337	0.342190585	0.465731943
YBR180W	DTR1	75.35839884	-1.480773747	0.273005886	-5.423962719	5.83E-08	5.39E-07	6.268466705
