gene	LAB.A	LAB.B	med15.A	med15.B	WY7.A	WY7.B	WY15.A	WY15.B	WY23.A	WY23.B	
YDR479C	3580	2761	3299	3538	2446	2511	2499	3632	2383	2605	
YDR480W	847	691	1164	1196	660	567	809	1003	712	695	
YDR481C	16062	16086	16551	14857	12239	12238	15235	14001	13625	13910	
YDR482C	2863	3686	2153	1742	2702	2511	3055	2282	2811	2949	
YDR483W	17567	20997	19384	19512	15371	15321	18537	15309	16471	17537	
YDR484W	1758	1386	1919	2099	1113	1042	1510	1684	1234	1253	
YDR485C	4506	4285	5284	5363	3110	2593	4163	3934	3462	3468	
YDR486C	2676	2416	2425	2892	1724	1892	2801	2529	2137	2419	
YDR487C	12089	11749	9490	10092	9795	11055	11256	10527	12337	12699	
YDR488C	201	227	490	420	156	123	201	161	150	158	
YDR489W	514	617	1004	869	433	421	824	570	471	528	
YDR490C	3762	3282	5323	5936	2685	2698	3375	3423	2760	2921	
YDR491C	254	127	390	450	192	142	164	272	146	138	
YDR492W	14674	23093	14207	15649	15288	19953	17998	9235	20557	22887	
YDR493W	1191	999	1474	1751	772	861	1244	1324	1037	1088	
YDR494W	3039	2757	2695	3164	2066	2192	2862	3183	2266	2459	
YDR495C	2249	2117	2292	2224	1451	1304	2230	2009	1655	1549	
YDR496C	3933	4233	4261	4074	2839	2779	5100	3246	3902	3753	
YDR497C	18363	27070	11224	8942	20232	13192	16521	13505	15478	14221	
YDR498C	2368	2287	1715	1686	1738	1560	2366	2097	1785	1863	
YDR499W	1577	1466	1964	1856	1138	1044	1726	1653	1323	1264	
YDR500C	6754	7308	8143	8907	5857	5975	9416	6090	6674	6533	
YDR501W	166	118	355	371	77	83	135	115	87	117	
YDR502C	5424	8679	4640	5388	5377	6038	7126	4861	6996	6547	
YDR503C	468	406	723	897	319	312	519	492	389	358	
YDR504C	939	746	1148	1319	780	973	805	1182	979	975	
YDR505C	11104	8286	10419	11024	8713	9156	8995	10883	9716	10668	
YDR506C	1173	1100	1730	1691	818	797	988	1021	897	891	
YDR507C	1066	717	3997	3988	427	413	971	831	731	650	
YDR508C	598	847	11787	9031	312	246	900	346	354	396	
YDR509W	1	1	2	1	0	0	0	0	2	1	
YDR510W	3673	3687	4307	5552	2846	3099	4214	3615	3297	3708	
YDR510C-A	4	3	5	3	0	2	1	3	1	2	
YDR511W	1092	966	1326	1334	774	804	957	1099	757	756	
YDR512C	1775	1391	1686	1631	1138	1102	1365	1828	1240	1241	
YDR513W	3835	3852	8568	8784	3101	2944	2252	3794	2606	2804	
YDR514C	1259	1546	1630	1496	1146	920	1562	1205	1097	1074	
YDR515W	1414	1530	1651	1725	944	894	1423	1223	1210	1188	
YDR516C	5745	7579	3943	3912	5844	4196	3547	5682	3492	4340	
YDR517W	3715	4297	3757	3655	3275	3137	3486	3426	3029	3378	
YDR518W	1344	1580	2524	2097	1031	974	1448	1179	1249	1199	
YDR519W	1395	1386	1695	1825	980	958	1462	1218	1181	1220	
YDR520C	2621	2180	2999	2789	1858	1779	2493	2358	2087	2020	
YDR521W	0	1	7	21	2	2	3	2	0	1	
